Application_Source__c,Application_Status__c,Errors,Id,Lead__c
Studylink,,,a1kAD00001DvbVtYAJ,
SAMS,,,a1kAD00001DvbVuYAJ,
SAMS,,,a1kAD00001DvbVvYAJ,
Studylink,,,a1kAD00001DvbVwYAJ,
SAMS,Accepted,,a1kAD00001DvbVxYAJ,
Studylink,,,a1kAD00001DvbVyYAJ,
Studylink,Accepted,,a1kAD00001DvbVzYAJ,
SAMS,Accepted,,a1kAD00001DvbW0YAJ,
Studylink,Conditional Offer,,a1kAD00001DvbW1YAJ,
SAMS,Accepted,,a1kAD00001DvbW2YAJ,
SAMS,Accepted,,a1kAD00001DvbW3YAJ,
SAMS,Accepted,,a1kAD00001DvbW4YAJ,
SAMS,Accepted,,a1kAD00001DvbW5YAJ,
SAMS,Accepted,,a1kAD00001DvbW6YAJ,
SAMS,Accepted,,a1kAD00001DvbW7YAJ,
Studylink,Submitted,,a1kAD00001DvbW8YAJ,
Studylink,,,a1kAD00001DvbW9YAJ,
Studylink,,,a1kAD00001DvbWAYAZ,
Studylink,,,a1kAD00001DvbWBYAZ,
Studylink,,,a1kAD00001DvbWCYAZ,
SAMS,Accepted,,a1kAD00001DvbWDYAZ,
