Errors,Id,Name,Study_Area_Code__c,Study_Area_End_Date__c,Study_Area_Long_Name__c,Study_Area_No__c,Study_Area_Stage__c,Study_Area_Start_Date__c,Study_Area_Type__c,Study_Area_Version__c
,a2wAD000000UKPVYA4,Computational and Simulation Science,MSBXMNR-COMPSSC,2015-12-31,Computational and Simulation Science Minor,,Discontinued,2014-01-01,Undergraduate Minor,1
,a2wAD000000UKPWYA4,Discrete Mathematics,MS01MNR-DISCRET,2014-12-31,Discrete Mathematics Minor,,Discontinued,2014-01-01,Undergraduate Minor,1
,a2wAD000000UKPXYA4,Discrete Mathematics,MSBXMNR-DISCRET,2016-12-31,Discrete Mathematics Minor,,Discontinued,2014-01-01,Undergraduate Minor,1
,a2wAD000000UKPYYA4,Finance,BSBXMJR-FINANCE,2021-12-31,Finance Major,,Phasing Out,2014-01-01,Undergraduate Major,2
,a2wAD000000UKPZYA4,Professional Accounting,BS79MJR-PRFACCG,2020-12-31,Professional Accounting Major,,Phasing Out,2014-01-01,Postgraduate Major,2
,a2wAD000000UKPaYAO,Finance,BS0XMNR-FINANCE,2021-12-31,Finance Minor,,Phasing Out,2014-01-01,Undergraduate Minor,2
,a2wAD000000UKPbYAO,Philanthropy and Nonprofit Studies,BSPXMJR-PHILNPS,2020-12-31,Philanthropy and Nonprofit Studies Major,,Discontinued,2013-07-01,Postgraduate Major,3
,a2wAD000000UKPcYAO,Philanthropy and Nonprofit Studies,BS18MJR-PHILNPS,2015-06-30,Philanthropy and Nonprofit Studies Major,,Discontinued,2013-07-01,Postgraduate Major,3
,a2wAD000000UKPdYAO,Applied Finance,BS18MJR-AFINMGT,2014-12-31,Applied Finance Major,,Discontinued,2014-01-01,Postgraduate Major,2
,a2wAD000000UKPeYAO,Finance,BSBXSMJ-FINANCE,2014-01-02,Finance Second Major,,Discontinued,2014-01-01,Undergraduate Second Major,2
,a2wAD000000UKPfYAO,Mechatronics,EN01MJR-MECHATN,2015-12-31,Mechatronics Major,,Discontinued,2015-01-01,Undergraduate Major,1
,a2wAD000000UKPgYAO,Medical Engineering,EN01MJR-MEDIENG,2016-06-30,Medical Engineering Major,,Discontinued,2015-01-01,Undergraduate Major,1
,a2wAD000000UKPhYAO,Marketing,BS11MJR-MRKTING,,Marketing Major,,Active,2015-01-01,Postgraduate Major,1
,a2wAD000000UKPiYAO,Professional Accounting,BS11MJR-PRFACCG,,Professional Accounting Major,,Active,2015-01-01,Postgraduate Major,1
,a2wAD000000UKPjYAO,Strategic Advertising,BS11MJR-STRTADV,2023-06-30,Strategic Advertising Major,,Phasing Out,2015-01-01,Postgraduate Major,1
,a2wAD000000UKPkYAO,Human Resource Management,BS39MJR-HRMGMNT,2020-12-31,Human Resource Management Major,,Discontinued,2015-01-01,Postgraduate Major,2
,a2wAD000000UKPlYAO,Human Resource Management,BS39MJR-HRMGTCG,2020-12-31,Human Resource Management Major,,Discontinued,2015-01-01,Postgraduate Major,1
,a2wAD000000UKPmYAO,International Business,BS39MJR-INTLBUS,2020-12-31,International Business Major,,Discontinued,2015-01-01,Postgraduate Major,2
,a2wAD000000UKPnYAO,Integrated Marketing Communication,BS39MJR-INTMKCM,2020-12-31,Integrated Marketing Communication Major,,Discontinued,2015-01-01,Postgraduate Major,2
,a2wAD000000UKPoYAO,Accounting,BS17MJR-ACCOUNT,2015-12-31,Accounting Major,,Discontinued,2015-01-01,Postgraduate Major,1
,a2wAD000000UKPpYAO,Management,BS39MJR-MGMTEXT,2014-12-31,Management Major,,Discontinued,2014-01-01,Postgraduate Major,1
,a2wAD000000UKPqYAO,Finance,GSPMMNR-FINANCE,2014-12-31,Finance Minor,,Discontinued,2009-07-01,Postgraduate Minor,1
