Commencement_Date__c,Completion_Date__c,Discontinued_Date__c,Enrollment_Stage__c,Enrollment_Status__c,Enrollment_Status_Date__c,Errors,External_Key__c,Graduating_Faculty_A__c,Graduating_Faculty_B__c,hed__Account__c,hed__Admission_Date__c,hed__Application_Submitted_Date__c,hed__Class_Standing__c,hed__Contact__c,hed__Credits_Attempted__c,hed__Credits_Earned__c,hed__Eligible_to_Enroll__c,hed__End_Date__c,hed__Enrollment_Status__c,hed__GPA__c,hed__Graduation_Year__c,hed__Program_Plan__c,hed__Start_Date__c,Id,Lead_Score_Reset__c
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
7/22/24,,,Offered,Offered,,"Cannot deserialize instance of date from VALUE_STRING value 7/22/24 or request may be missing a required field at [Source: N/A; line: -1, column: -1][line:-1, column:-1]",,001AD00000U2kX4YAJ,001AD00000U2kX5YAJ,001AD00000UT1AlYAL,,,,,,0,false,,Offered,,,,,,false
